"Obec/město/KATASTR","Okres","Kraj","PČR útvar","Číslo katastru","Původní (chybné) zařazení/Poznámka","PRIORITA",,
"Chlumek","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Dobrá Voda","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Dolní Heřmanice","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Dolní Libochová","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Horní Libochová","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Horní Radslavice","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Jabloňov","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Jívoví","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Kadolec","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Kozlov","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Křižanov","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Kundratice","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Kyjov","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Lavičky","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Martinice","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Měřín","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Moravec","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Netín","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Oslavice","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Osové","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Otín","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Pavlínov","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Petráveč","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Pikárec","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Radenice","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Radkov","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Rousměrov","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Ruda","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Sklené nad Oslavou","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Stránecká Zhoř","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Sviny","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Uhřínov","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Velké Meziříčí","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Vídeň","Žďár nad Sázavou","Kraj Vysočina","OOP Velké Meziříčí",,,,"oop velké meziříčí",
"Dolní Poustevna","Děčín","Ústecký kraj","OOP Velký Šenov",,,,"oop velký šenov",
"Lipová","Děčín","Ústecký kraj","OOP Velký Šenov",,,,"oop velký šenov",
"Lobendava","Děčín","Ústecký kraj","OOP Velký Šenov",,,,"oop velký šenov",
"Mikulášovice","Děčín","Ústecký kraj","OOP Velký Šenov",,,,"oop velký šenov",
"Velký Šenov","Děčín","Ústecký kraj","OOP Velký Šenov",,,,"oop velký šenov",
"Vilémov","Děčín","Ústecký kraj","OOP Velký Šenov",,,,"oop velký šenov",
"Borkovice","Tábor","Jihočeský kraj","OOP Veselí nad Lužnicí",,,,"oop veselí nad lužnicí",
"Drahov","Tábor","Jihočeský kraj","OOP Veselí nad Lužnicí",,,,"oop veselí nad lužnicí",
"Mažice","Tábor","Jihočeský kraj","OOP Veselí nad Lužnicí",,,,"oop veselí nad lužnicí",
"Řípec","Tábor","Jihočeský kraj","OOP Veselí nad Lužnicí",,,,"oop veselí nad lužnicí",
"Sviny","Tábor","Jihočeský kraj","OOP Veselí nad Lužnicí",,,,"oop veselí nad lužnicí",
"Val","Tábor","Jihočeský kraj","OOP Veselí nad Lužnicí",,,,"oop veselí nad lužnicí",
"Veselí nad Lužnicí","Tábor","Jihočeský kraj","OOP Veselí nad Lužnicí",,,,"oop veselí nad lužnicí",
"Vlkov","Tábor","Jihočeský kraj","OOP Veselí nad Lužnicí",,,,"oop veselí nad lužnicí",
"Zálší","Tábor","Jihočeský kraj","OOP Veselí nad Lužnicí",,,,"oop veselí nad lužnicí",
"Žíšov","Tábor","Jihočeský kraj","OOP Veselí nad Lužnicí",,,,"oop veselí nad lužnicí",
"Zlukov","Tábor","Jihočeský kraj","OOP Veselí nad Lužnicí",,,,"oop veselí nad lužnicí",
"Blatnice pod Svatým Antonínkem","Hodonín","Jihomoravský kraj","OOP Veselí nad Moravou",,,,"oop veselí nad moravou",
"Blatnička","Hodonín","Jihomoravský kraj","OOP Veselí nad Moravou",,,,"oop veselí nad moravou",
"Hroznová Lhota","Hodonín","Jihomoravský kraj","OOP Veselí nad Moravou",,,,"oop veselí nad moravou",
"Hrubá Vrbka","Hodonín","Jihomoravský kraj","OOP Veselí nad Moravou",,,,"oop veselí nad moravou",
"Javorník","Hodonín","Jihomoravský kraj","OOP Veselí nad Moravou",,,,"oop veselí nad moravou",
"Kozojídky","Hodonín","Jihomoravský kraj","OOP Veselí nad Moravou",,,,"oop veselí nad moravou",
"Kuželov","Hodonín","Jihomoravský kraj","OOP Veselí nad Moravou",,,,"oop veselí nad moravou",
"Lipov","Hodonín","Jihomoravský kraj","OOP Veselí nad Moravou",,,,"oop veselí nad moravou",
"Louka","Hodonín","Jihomoravský kraj","OOP Veselí nad Moravou",,,,"oop veselí nad moravou",
"Malá Vrbka","Hodonín","Jihomoravský kraj","OOP Veselí nad Moravou",,,,"oop veselí nad moravou",
"Nová Lhota","Hodonín","Jihomoravský kraj","OOP Veselí nad Moravou",,,,"oop veselí nad moravou",
"Suchov","Hodonín","Jihomoravský kraj","OOP Veselí nad Moravou",,,,"oop veselí nad moravou",
"Tasov","Hodonín","Jihomoravský kraj","OOP Veselí nad Moravou",,,,"oop veselí nad moravou",
"Velká nad Veličkou","Hodonín","Jihomoravský kraj","OOP Veselí nad Moravou",,,,"oop veselí nad moravou",
"Veselí nad Moravou","Hodonín","Jihomoravský kraj","OOP Veselí nad Moravou",,,,"oop veselí nad moravou",
"Vnorovy","Hodonín","Jihomoravský kraj","OOP Veselí nad Moravou",,,,"oop veselí nad moravou",
"Žeraviny","Hodonín","Jihomoravský kraj","OOP Veselí nad Moravou",,,,"oop veselí nad moravou",
"Bohdalovice","Český Krumlov","Jihočeský kraj","OOP Větřní",,,2,"oop větřní",
"Kájov","Český Krumlov","Jihočeský kraj","OOP Větřní",,,2,"oop větřní",
"Světlík","Český Krumlov","Jihočeský kraj","OOP Větřní",,,2,"oop větřní",
"Větřní","Český Krumlov","Jihočeský kraj","OOP Větřní",,,2,"oop větřní",
"Bohumilice","Prachatice","Jihočeský kraj","OOP Vimperk",,,,"oop vimperk",
"Bošice","Prachatice","Jihočeský kraj","OOP Vimperk",,,,"oop vimperk",
"Buk","Prachatice","Jihočeský kraj","OOP Vimperk",,,,"oop vimperk",
"Čkyně","Prachatice","Jihočeský kraj","OOP Vimperk",,,,"oop vimperk",
"Lčovice","Prachatice","Jihočeský kraj","OOP Vimperk",,,,"oop vimperk",
"Nicov","Prachatice","Jihočeský kraj","OOP Vimperk",,,,"oop vimperk",
"Stachy","Prachatice","Jihočeský kraj","OOP Vimperk",,,,"oop vimperk",
"Šumavské Hoštice","Prachatice","Jihočeský kraj","OOP Vimperk",,,,"oop vimperk",
"Svatá Maří","Prachatice","Jihočeský kraj","OOP Vimperk",,,,"oop vimperk",
"Vacov","Prachatice","Jihočeský kraj","OOP Vimperk",,,,"oop vimperk",
"Vimperk","Prachatice","Jihočeský kraj","OOP Vimperk",,,,"oop vimperk",
"Vrbice","Prachatice","Jihočeský kraj","OOP Vimperk",,,,"oop vimperk",
"Zálezly","Prachatice","Jihočeský kraj","OOP Vimperk",,,,"oop vimperk",
"Žárovná","Prachatice","Jihočeský kraj","OOP Vimperk",,,,"oop vimperk",
"Zdíkov","Prachatice","Jihočeský kraj","OOP Vimperk",,,,"oop vimperk",
"Budišov nad Budišovkou","Opava","Moravskoslezský kraj","OOP Vítkov",,,,"oop vítkov",
"Čermná ve Slezsku","Opava","Moravskoslezský kraj","OOP Vítkov",,,,"oop vítkov",
"Kružberk","Opava","Moravskoslezský kraj","OOP Vítkov",,,,"oop vítkov",
"Melč","Opava","Moravskoslezský kraj","OOP Vítkov",,,,"oop vítkov",
"Mikolajice","Opava","Moravskoslezský kraj","OOP Vítkov",,,,"oop vítkov",
"Moravice","Opava","Moravskoslezský kraj","OOP Vítkov",,,,"oop vítkov",
"Nové Lublice","Opava","Moravskoslezský kraj","OOP Vítkov",,,,"oop vítkov",
"Radkov","Opava","Moravskoslezský kraj","OOP Vítkov",,,,"oop vítkov",
"Staré Těchanovice","Opava","Moravskoslezský kraj","OOP Vítkov",,,,"oop vítkov",
"Svatoňovice","Opava","Moravskoslezský kraj","OOP Vítkov",,,,"oop vítkov",
"Větřkovice","Opava","Moravskoslezský kraj","OOP Vítkov",,,,"oop vítkov",
"Vítkov","Opava","Moravskoslezský kraj","OOP Vítkov",,,,"oop vítkov",
"Bratřejov","Zlín","Zlínský kraj","OOP Vizovice",,,,"oop vizovice",
"Březová","Zlín","Zlínský kraj","OOP Vizovice",,,,"oop vizovice",
"Dešná","Zlín","Zlínský kraj","OOP Vizovice",,,,"oop vizovice",
"Jasenná","Zlín","Zlínský kraj","OOP Vizovice",,,,"oop vizovice",
"Lhotsko","Zlín","Zlínský kraj","OOP Vizovice",,,,"oop vizovice",
"Lípa","Zlín","Zlínský kraj","OOP Vizovice",,,,"oop vizovice",
"Lutonina","Zlín","Zlínský kraj","OOP Vizovice",,,,"oop vizovice",
"Neubuz","Zlín","Zlínský kraj","OOP Vizovice",,,,"oop vizovice",
"Slušovice","Zlín","Zlínský kraj","OOP Vizovice",,,,"oop vizovice",
"Ublo","Zlín","Zlínský kraj","OOP Vizovice",,,,"oop vizovice",
"Veselá","Zlín","Zlínský kraj","OOP Vizovice",,,,"oop vizovice",
"Vizovice","Zlín","Zlínský kraj","OOP Vizovice",,,,"oop vizovice",
"Všemina","Zlín","Zlínský kraj","OOP Vizovice",,,,"oop vizovice",
"Zádveřice-Raková","Zlín","Zlínský kraj","OOP Vizovice",,,,"oop vizovice",
"Želechovice nad Dřevnicí","Zlín","Zlínský kraj","OOP Vizovice",,,,"oop vizovice",
"LUŽKOVICE","Zlín","Zlínský kraj","OOP Vizovice",795887,"OOP Zlín",2,"oop vizovice",
"KLEČŮVKA","Zlín","Zlínský kraj","OOP Vizovice",666041,"OOP Zlín",2,"oop vizovice",
"Bílkovice","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Chotýšany","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Ctiboř","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Divišov","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Hradiště","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Kamberk","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Kladruby","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Kondrac","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Libež","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Litichovice","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Louňovice pod Blaníkem","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Ostrov","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Pavlovice","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Popovice","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Postupice","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Psáře","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Radošovice","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Rataje","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Řimovice","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Slověnice","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Tehov","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Tichonice","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Třebešice","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Veliš","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Vlašim","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Vracovice","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Všechlapy","Benešov","Středočeský kraj","OOP Vlašim",,,,"oop vlašim",
"Bavorov","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Bílsko","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Budyně","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Cehnice","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Chelčice","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Číčenice","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Drahonice","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Hájek","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Krajníčko","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Krašlovice","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Kuřimany","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Kváskovice","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Libějovice","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Měkynec","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Paračov","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Pivkovice","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Pohorovice","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Radějovice","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Skály","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Skočice","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Stožice","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Třešovice","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Truskovice","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
"Vodňany","Strakonice","Jihočeský kraj","OOP Vodňany",,,,"oop vodňany",
,"Strakonice","Jihočeský kraj","OOP Vodňany",696935,"OOP Radomyšl",3,"oop vodňany",
,"Strakonice","Jihočeský kraj","OOP Vodňany",696943,"OOP Radomyšl",3,"oop vodňany",
"Chlumín","Mělník","Středočeský kraj","OOP Vojkovice",,,,"oop vojkovice",
"Dřínov","Mělník","Středočeský kraj","OOP Vojkovice",,,,"oop vojkovice",
"Hostín u Vojkovic","Mělník","Středočeský kraj","OOP Vojkovice",,,,"oop vojkovice",
"Obříství","Mělník","Středočeský kraj","OOP Vojkovice",,,,"oop vojkovice",
"Újezdec","Mělník","Středočeský kraj","OOP Vojkovice",,,,"oop vojkovice",
"Úžice","Mělník","Středočeský kraj","OOP Vojkovice",,,,"oop vojkovice",
"Veltrusy","Mělník","Středočeský kraj","OOP Vojkovice",,,,"oop vojkovice",
"Vojkovice","Mělník","Středočeský kraj","OOP Vojkovice",,,,"oop vojkovice",
"Všestudy","Mělník","Středočeský kraj","OOP Vojkovice",,,,"oop vojkovice",
"Zálezlice","Mělník","Středočeský kraj","OOP Vojkovice",,,,"oop vojkovice",
"Zlosyň","Mělník","Středočeský kraj","OOP Vojkovice",,,,"oop vojkovice",
"Křišťanov","Prachatice","Jihočeský kraj","OOP Volary",,,,"oop volary",
"Nová Pec","Prachatice","Jihočeský kraj","OOP Volary",,,,"oop volary",
"Stožec","Prachatice","Jihočeský kraj","OOP Volary",,,,"oop volary",
"Volary","Prachatice","Jihočeský kraj","OOP Volary",,,,"oop volary",
"Zbytiny","Prachatice","Jihočeský kraj","OOP Volary",,,,"oop volary",
"Želnava","Prachatice","Jihočeský kraj","OOP Volary",,,,"oop volary",
"Čepřovice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Čestice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Drážov","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Dřešín","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Hoslovice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Hoštice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Kalenice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Kraselov","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Krejnice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Libětice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Litochovice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Malenice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Milejovice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Miloňovice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Němčice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Němětice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Nihošovice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Nišovice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Nová Ves","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Přechovice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Přední Zborovice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Předslavice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Strašice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Strunkovice nad Volyňkou","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Úlehle","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Vacovice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Volenice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Volyně","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Zahorčice","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Zvotoky","Strakonice","Jihočeský kraj","OOP Volyně",,,,"oop volyně",
"Červený Újezd","Benešov","Středočeský kraj","OOP Votice",,,,"oop votice",
"Heřmaničky","Benešov","Středočeský kraj","OOP Votice",,,,"oop votice",
"Jankov","Benešov","Středočeský kraj","OOP Votice",,,,"oop votice",
"Ješetice","Benešov","Středočeský kraj","OOP Votice",,,,"oop votice",
"Mezno","Benešov","Středočeský kraj","OOP Votice",,,,"oop votice",
"Miličín","Benešov","Středočeský kraj","OOP Votice",,,,"oop votice",
"Neustupov","Benešov","Středočeský kraj","OOP Votice",,,,"oop votice",
"Olbramovice","Benešov","Středočeský kraj","OOP Votice",,,,"oop votice",
"Ratměřice","Benešov","Středočeský kraj","OOP Votice",,,,"oop votice",
"Smilkov","Benešov","Středočeský kraj","OOP Votice",,,,"oop votice",
"Střezimíř","Benešov","Středočeský kraj","OOP Votice",,,,"oop votice",
"Vojkov","Benešov","Středočeský kraj","OOP Votice",,,,"oop votice",
"Votice","Benešov","Středočeský kraj","OOP Votice",,,,"oop votice",
"Vrchotovy Janovice","Benešov","Středočeský kraj","OOP Votice",,,,"oop votice",
"Zvěstov","Benešov","Středočeský kraj","OOP Votice",,,,"oop votice",
"Sedlec-Prčice","Příbram","Středočeský kraj","OOP Votice",,,,"oop votice",
"Bítov","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Blížkovice","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Chvalatice","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Ctidružice","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Horní Břečkov","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Korolupy","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Lančov","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Lesná","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Lubnice","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Lukov","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Onšov","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Oslnovice","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Podhradí nad Dyjí","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Podmyče","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Šafov","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Stálky","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Starý Petřín","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Štítary","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Šumná","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Uherčice","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Vracovice","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Vranov nad Dyjí","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Vratěnín","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Vysočany","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Zálesí","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Zblovice","Znojmo","Jihomoravský kraj","OOP Vranov nad Dyjí",,,,"oop vranov nad dyjí",
"Šenov","Ostrava-město","Moravskoslezský kraj","OOP Vratimov",,,,"oop vratimov",
"Václavovice","Ostrava-město","Moravskoslezský kraj","OOP Vratimov",,,,"oop vratimov",
"Vratimov","Ostrava-město","Moravskoslezský kraj","OOP Vratimov",,,,"oop vratimov",
"Karlova Studánka","Bruntál","Moravskoslezský kraj","OOP Vrbno pod Pradědem",,,,"oop vrbno pod pradědem",
"Karlovice","Bruntál","Moravskoslezský kraj","OOP Vrbno pod Pradědem",,,,"oop vrbno pod pradědem",
"Ludvíkov","Bruntál","Moravskoslezský kraj","OOP Vrbno pod Pradědem",,,,"oop vrbno pod pradědem",
"Široká Niva","Bruntál","Moravskoslezský kraj","OOP Vrbno pod Pradědem",,,,"oop vrbno pod pradědem",
"Vrbno pod Pradědem","Bruntál","Moravskoslezský kraj","OOP Vrbno pod Pradědem",,,,"oop vrbno pod pradědem",
"Černý Důl","Trutnov","Královéhradecký kraj","OOP Vrchlabí",,,,"oop vrchlabí",
"Dolní Branná","Trutnov","Královéhradecký kraj","OOP Vrchlabí",,,,"oop vrchlabí",
"Dolní Dvůr","Trutnov","Královéhradecký kraj","OOP Vrchlabí",,,,"oop vrchlabí",
"Dolní Lánov","Trutnov","Královéhradecký kraj","OOP Vrchlabí",,,,"oop vrchlabí",
"Kunčice nad Labem","Trutnov","Královéhradecký kraj","OOP Vrchlabí",,,,"oop vrchlabí",
"Lánov","Trutnov","Královéhradecký kraj","OOP Vrchlabí",,,,"oop vrchlabí",
"Strážné","Trutnov","Královéhradecký kraj","OOP Vrchlabí",,,,"oop vrchlabí",
"Vrchlabí","Trutnov","Královéhradecký kraj","OOP Vrchlabí",,,,"oop vrchlabí",
"STŘÍŽOVICE U ÚSTÍ NAD LABEM","Ústí nad Labem","Ústecký kraj","OOP Všebořice",623288,"OOP Chlumec",2,"oop všebořice",
"ČESKÝ ÚJEZD","Ústí nad Labem","Ústecký kraj","OOP Všebořice",623270,"OOP Chlumec",2,"oop všebořice",
"KLÍŠE","Ústí nad Labem","Ústecký kraj","OOP Všebořice",775053,"Pouze severní část, vymezená lesem a ulicemi Lesní cesta a Masarykova (celkem důležité, v té části je fotbalový stadion)",2,"oop všebořice",
"DĚLOUŠ","Ústí nad Labem","Ústecký kraj","OOP Všebořice",775894,"OOP Ústí nad Labem - město",2,"oop všebořice",
"STRÁŽKY U HABROVIC","Ústí nad Labem","Ústecký kraj","OOP Všebořice",636444,"OOP Ústí nad Labem - město",2,"oop všebořice",
"HABROVICE","Ústí nad Labem","Ústecký kraj","OOP Všebořice",636436,"OOP Ústí nad Labem - město",2,"oop všebořice",
"VŠEBOŘICE","Ústí nad Labem","Ústecký kraj","OOP Všebořice",775118,"OOP Ústí nad Labem - město",2,"oop všebořice",
"SKOROTICE U ÚSTÍ NAD LABEM","Ústí nad Labem","Ústecký kraj","OOP Všebořice",748480,"OOP Ústí nad Labem - město",2,"oop všebořice",
"BUKOV","Ústí nad Labem","Ústecký kraj","OOP Všebořice",775096,"pouze východní část, vymezená ulicemi Božtěšická a Masarykova",2,"oop všebořice",
